"ID_biorollo","Dias_desde_armado","Especie","Tratamiento","Raiz_mas_larga"
"1",93,"Junco","Con remojo",5
"2",93,"Pehuajó","Con remojo",10
"3",93,"Totora","Con remojo",14
"4",93,"Junco","Con remojo",10
"6",93,"Totora","Con remojo",7
"7",93,"Pehuajó","Con remojo",6
"9",93,"Pehuajó","Con remojo",19
"10",93,"Totora","Con remojo",4
"12",93,"Junco","Con remojo",0
"13",93,"Pehuajó","Con remojo",15
"16",93,"Totora","Con remojo",6
"17",93,"Totora","Con remojo",1
"20",93,"Pehuajó","Con remojo",8
"21",93,"Junco","Con remojo",18
"22",93,"Totora","Con remojo",0
"23",93,"Pehuajó","Con remojo",0
"24",93,"Junco","Con remojo",10
"25",93,"Totora","Sin remojo",7
"26",93,"Junco","Sin remojo",3
"27",93,"Pehuajó","Sin remojo",21
"29",93,"Junco","Sin remojo",0
"30",93,"Pehuajó","Sin remojo",23
"31",93,"Pehuajó","Sin remojo",22
"36",93,"Junco","Sin remojo",11
"38",93,"Junco","Sin remojo",0
"39",93,"Totora","Sin remojo",8
"40",93,"Junco","Sin remojo",15
"41",93,"Pehuajó","Sin remojo",24
"42",93,"Pehuajó","Sin remojo",0
"43",93,"Totora","Sin remojo",7
"44",93,"Totora","Sin remojo",0
"45",93,"Pehuajó","Sin remojo",20
"48",93,"Junco","Sin remojo",26
"49",93,"Junco","Con remojo",7.5
"50",93,"Pehuajó","Con remojo",10
"51",93,"Totora","Con remojo",0
"52",93,"Junco","Con remojo",16
"54",93,"Totora","Con remojo",4
"55",93,"Pehuajó","Con remojo",7
"57",93,"Pehuajó","Con remojo",22
"58",93,"Totora","Con remojo",7
"60",93,"Junco","Con remojo",0
"61",93,"Pehuajó","Con remojo",12
"64",93,"Totora","Con remojo",0
"65",93,"Totora","Con remojo",6
"68",93,"Pehuajó","Con remojo",11
"69",93,"Junco","Con remojo",15
"70",93,"Totora","Con remojo",0
"71",93,"Pehuajó","Con remojo",0
"72",93,"Junco","Con remojo",11.5
"73",93,"Totora","Sin remojo",7
"74",93,"Junco","Sin remojo",2
"75",93,"Pehuajó","Sin remojo",28
"77",93,"Junco","Sin remojo",0
"78",93,"Pehuajó","Sin remojo",26
"79",93,"Pehuajó","Sin remojo",23
"84",93,"Junco","Sin remojo",13
"86",93,"Junco","Sin remojo",0
"87",93,"Totora","Sin remojo",9
"88",93,"Junco","Sin remojo",22
"89",93,"Pehuajó","Sin remojo",23
"90",93,"Pehuajó","Sin remojo",0
"91",93,"Totora","Sin remojo",9
"92",93,"Totora","Sin remojo",11
"93",93,"Pehuajó","Sin remojo",25
"96",93,"Junco","Sin remojo",29
